Ticker,Nome delle partecipazioni,% del valore di mercato,Settore,Regione,Valore di mercato,Azioni
EIX,Edison International,"0,0613%",Conventional Electricity,US,"2.170.320,85 USD",28.241
NTR,Nutrien Ltd.,"0,0611%",Fertilizers,CA,"2.163.576,73 USD",36.926
CHTR,Charter Communications Inc. Class A,"0,0609%",Cable Television Services,US,"2.159.429,52 USD",7.521
NA,National Bank of Canada,"0,0607%",Banks,CA,"2.152.221,44 USD",25.185
FSLR,First Solar Inc.,"0,0607%",Renewable Energy Equipment,US,"2.149.078,08 USD",7.908
KHC,Kraft Heinz Co.,"0,0599%",Food Products,US,"2.123.791,65 USD",60.045
GLW,Corning Inc.,"0,0598%",Electronic Components,US,"2.118.752,64 USD",56.864
EL,Estee Lauder Cos. Inc. Class A,"0,0597%",Cosmetics,US,"2.115.253,92 USD",17.147
HUBS,HubSpot Inc.,"0,0595%",Software,US,"2.107.511,45 USD",3.449
EFX,Equifax Inc.,"0,0594%",Professional Business Support Services,US,"2.105.649,00 USD",9.100
EBAY,eBay Inc.,"0,0591%",Consumer Services: Misc.,US,"2.095.060,80 USD",38.640
NU,NU Holdings Ltd./Cayman Islands Class A,"0,0586%",Consumer Lending,KY,"2.075.352,84 USD",174.693
ANSS,ANSYS Inc.,"0,0583%",Software,US,"2.067.234,40 USD",6.512
CVE,Cenovus Energy Inc.,"0,0571%",Integrated Oil and Gas,CA,"2.024.557,69 USD",97.141
AVB,AvalonBay Communities Inc.,"0,0571%",Residential REITs,US,"2.024.488,76 USD",10.507
CBRE,CBRE Group Inc. Class A,"0,0564%",Real Estate Services,US,"1.999.453,21 USD",22.703
TRI,Thomson Reuters Corp.,"0,0564%",Financial Data Providers,CA,"1.997.586,03 USD",11.610
ICLR,ICON plc,"0,0558%",Medical Services,IE,"1.978.153,80 USD",6.090
WTW,Willis Towers Watson plc,"0,0557%",Insurance Brokers,IE,"1.972.881,12 USD",7.728
TTWO,Take-Two Interactive Software Inc.,"0,0555%",Electronic Entertainment,US,"1.967.296,48 USD",12.268
TRGP,Targa Resources Corp.,"0,0554%",Pipelines,US,"1.961.553,93 USD",16.591
FTV,Fortive Corp.,"0,0553%",Diversified Industrials,US,"1.957.772,00 USD",26.300
GPN,Global Payments Inc.,"0,0552%",Transaction Processing Services,US,"1.957.251,45 USD",19.217
CHD,Church & Dwight Co. Inc.,"0,0552%",Nondurable Household Products,US,"1.954.751,67 USD",18.267
DOV,Dover Corp.,"0,0548%",Diversified Industrials,US,"1.941.690,66 USD",10.563
